Year,Month,Day,Max Temp,Min Temp,GDD
2002,12,23,-10.0,-19.5,0
2002,12,24,-9.8,-21.3,0
2002,12,25,-6.1,-14.6,0
2002,12,26,1.6,-14.8,0
2002,12,27,-2.7,-15.6,0
2002,12,28,-6.1,-17.0,0
2002,12,29,-6.8,-14.2,0
2002,12,30,-10.3,-23.8,0
2002,12,31,-11.0,-20.9,0
2003,01,01,-8.2,-20.5,0
2003,01,02,-1.4,-13.8,0
2003,01,03,0.4,-12.8,0
2003,01,04,-3.7,-12.8,0
2003,01,05,-5.7,-11.8,0
2003,01,06,1.4,-9.4,0
2003,01,07,1.6,-6.7,0
2003,01,08,4.7,-8.9,0
2003,01,09,-8.2,-21.7,0
2003,01,10,-18.9,-31.0,0
2003,01,11,-16.0,-32.4,0
2003,01,12,-23.7,-32.1,0
2003,01,13,-18.3,-28.8,0
2003,01,14,-19.3,-30.8,0
2003,01,15,-14.6,-26.1,0
2003,01,16,-10.3,-26.0,0
2003,01,17,-4.4,-16.8,0
2003,01,18,-7.9,-20.5,0
2003,01,19,-8.1,-22.5,0
2003,01,20,-17.1,-22.6,0
2003,01,21,-18.9,-31.8,0
2003,01,22,-25.7,-34.0,0
2003,01,23,-19.3,-28.2,0
2003,01,24,-20.2,-25.2,0
2003,01,25,-21.6,-35.4,0
2003,01,26,-9.8,-33.0,0
2003,01,27,-7.5,-18.6,0
2003,01,28,-18.6,-28.2,0
2003,01,29,-9.8,-28.8,0
2003,01,30,-6.4,-16.2,0
2003,01,31,-0.1,-6.8,0
2003,02,01,-2.7,-10.8,0
2003,02,02,-7.7,-14.4,0
2003,02,03,-7.9,-19.0,0
2003,02,04,-8.8,-17.4,0
2003,02,05,-8.2,-14.4,0
2003,02,06,-7.7,-12.8,0
2003,02,07,-2.2,-12.7,0
2003,02,08,-12.2,-28.2,0
2003,02,09,-13.9,-24.0,0
2003,02,10,-4.7,-25.8,0
2003,02,11,-8.4,-26.9,0
2003,02,12,-4.1,-24.5,0
2003,02,13,-7.8,-13.2,0
2003,02,14,-13.2,-20.0,0
2003,02,15,-9.3,-17.4,0
2003,02,16,-8.1,-11.7,0
2003,02,17,-11.4,-14.0,0
2003,02,18,-7.0,-17.9,0
2003,02,19,-8.1,-16.8,0
2003,02,20,-16.7,-28.6,0
2003,02,21,-24.0,-35.0,0
2003,02,22,-21.5,-35.7,0
2003,02,23,-23.9,-36.2,0
2003,02,24,-19.9,-35.7,0
2003,02,25,-13.2,-31.5,0
2003,02,26,-6.5,-18.1,0
2003,02,27,-9.1,-21.2,0
2003,02,28,-9.6,-20.2,0
2003,03,01,-16.8,-33.1,0
2003,03,02,-14.8,-27.2,0
2003,03,03,-17.7,-28.5,0
2003,03,04,-20.7,-35.0,0
2003,03,05,-16.2,-29.4,0
2003,03,06,-19.1,-32.0,0
2003,03,07,-23.7,-38.3,0
2003,03,08,-22.4,-37.0,0
